schema_name,component_name,model_id,component_type,component_type_value,component_expr,criteria_count
AmortizeBill_I,SignWAccBaseValue,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""Itemid\"":\""Itemid\"",\""LinkType\"":\""LinkType\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""Linkref\"":\""Linkref\""}",1
AmortizeBill_I,ExpValue_TDS,ExpAccBill_I_TDS,SUMFROMSCHEMA,COST,"{\""Documentnumber\"":\""Documentnumber\"",\""Itemid\"":\""Itemid\"",\""Linkref\"":\""Linkref\""}",1
AmortizeBill_I,ExpValue_GST,ExpAccBill_I_GST,SUMFROMSCHEMA,COST,"{\""Documentnumber\"":\""Documentnumber\"",\""Itemid\"":\""Itemid\"",\""Linkref\"":\""Linkref\""}",1
AmortizeBill_I,ExchangeRate,Bill_Item,FETCHFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\""}",1
AmortizeBill_I,AddlCharge,MATH,MATH,COST,AddlCharge*ExchangeRate,1
AmortizeBill_I,BillBasevalue,MATH,MATH,COST,SignWAccBaseValue+AddlCharge,1
AmortizeBill_I,Rate,MATH,MATH,COST,Rate,1
AmortizeBill_I,DiscountAmt,MATH,MATH,COST,Discount,1
AmortizeBill_I,TaxPercentage,MATH,MATH,COST,TaxPercentage,1
AmortizeBill_I,Basevalue,MATH,MATH,COST,BillBasevalue + ExpValue_TDS + ExpValue_GST,1
AmortizeBill_I,TaxValue,MATH,MATH,COST,TaxValue,1
AmortizeBill_I,DocumentValue,MATH,MATH,COST,DocumentValue,1
PO&IPVsBill,POorIPQty,PO&IP_Status,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""LinkRef\"",\""ItemID\"":\""ItemID\""}",1
PO&IPVsBill,BillQty,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""LinkRef\""}",1
PO&IPVsBill,RefQty,MATH,ROWWISE-MINVALUE,COST,POorIPQty <> BillQty,1
PO&IPVsBill,DiffQty,MATH,MATH,COST,RefQty - BillQty,1
PO&IPVsBill,POorIPRate,PO&IP_Status,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""LinkRef\"",\""ItemID\"":\""ItemID\""}",1
PO&IPVsBill,BillRate,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""LinkRef\""}",1
PO&IPVsBill,RefRate,MATH,ROWWISE-MINVALUE,COST,POorIPRate <> BillRate,1
PO&IPVsBill,DiffRate,MATH,MATH,COST,RefRate - BillRate,1
PO&IPVsBill,POorIPAddlCharge,PO&IP_Status,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""LinkRef\"",\""ItemID\"":\""ItemID\""}",1
PO&IPVsBill,BillAddlCharge,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""LinkRef\""}",1
PO&IPVsBill,RefAddlCharge,MATH,ROWWISE-MINVALUE,COST,POorIPAddlCharge <> BillAddlCharge,1
PO&IPVsBill,DiffAddlCharge,MATH,MATH,COST,RefAddlCharge - BillAddlCharge,1
PO&IPVsBill,POorIPDiscountAmt,PO&IP_Status,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""LinkRef\"",\""ItemID\"":\""ItemID\""}",1
PO&IPVsBill,BillDiscountAmt,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""LinkRef\""}",1
PO&IPVsBill,RefDiscountAmt,MATH,ROWWISE-MINVALUE,COST,POorIPDiscountAmt <> BillDiscountAmt,1
PO&IPVsBill,DiffDiscountAmt,MATH,MATH,COST,RefDiscountAmt - BillDiscountAmt,1
PO&IPVsBill,POorIPTaxPercentage,PO&IP_Status,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""LinkRef\"",\""ItemID\"":\""ItemID\""}",1
